control,time,voltage
,0.1,1.047
,0.2,1.047
,0.3,1.047
,0.4,1.047
,0.5,1.047
,0.6,1.047
,0.7,1.047
,0.8,1.047
,0.9,1.047
,1,1.047
,1.1,1.046
,1.2,1.047
,1.3,1.047
,1.4,1.047
,1.5,1.047
,1.6,1.047
,1.7,1.047
,1.8,1.048
,1.9,1.046
,2,1.047
,2.1,1.048
,2.2,1.047
,2.3,1.046
,2.4,1.047
,2.5,1.047
,2.6,1.047
,2.7,1.047
,2.8,1.047
,2.9,1.047
,3,1.047
,3.1,1.047
,3.2,1.047
,3.3,1.047
,3.4,1.046
,3.5,1.047
,3.6,1.047
,3.7,1.047
,3.8,1.047
,3.9,1.047
,4,1.047
,4.1,1.048
,4.2,1.046
,4.3,1.047
,4.4,1.048
,4.5,1.047
,4.6,1.046
,4.7,1.047
,4.8,1.047
,4.9,1.047
,5,1.047
,5.1,1.047
,5.2,1.047
,5.3,1.047
,5.4,1.047
,5.5,1.047
,5.6,1.047
,5.7,1.046
,5.8,1.047
,5.9,1.047
,6,1.047
,6.1,1.047
,6.2,1.047
,6.3,1.047
,6.4,1.048
,6.5,1.046
,6.6,1.047
,6.7,1.048
,6.8,1.047
,6.9,1.046
,7,1.047
,7.1,1.047
,7.2,1.047
,7.3,1.047
,7.4,1.047
,7.5,1.047
,7.6,1.047
,7.7,1.047
,7.8,1.047
,7.9,1.047
,8,1.046
,8.1,1.047
,8.2,1.047
,8.3,1.047
,8.4,1.047
,8.5,1.047
,8.6,1.047
,8.7,1.048
,8.8,1.046
,8.9,1.047
,9,1.048
,9.1,1.047
,9.2,1.046
,9.3,1.047
,9.4,1.047
,9.5,1.047
,9.6,1.047
,9.7,1.047
,9.8,1.047
,9.9,1.047
,10,1.047
,10.1,1.047
,10.2,1.047
,10.3,1.046
,10.4,1.047
,10.5,1.047
,10.6,1.047
,10.7,1.047
,10.8,1.047
,10.9,1.047
,11,1.048
,11.1,1.046
,11.2,1.047
,11.3,1.048
,11.4,1.047
,11.5,1.046
,11.6,1.047
,11.7,1.047
,11.8,1.047
,11.9,1.047
,12,1.047
,12.1,1.047
,12.2,1.047
,12.3,1.047
,12.4,1.047
,12.5,1.047
,12.6,1.046
,12.7,1.047
,12.8,1.047
,12.9,1.047
,13,1.047
,13.1,1.047
,13.2,1.047
,13.3,1.048
,13.4,1.046
,13.5,1.047
,13.6,1.048
,13.7,1.047
,13.8,1.046
,13.9,1.047
,14,1.047
,14.1,1.047
,14.2,1.047
,14.3,1.047
,14.4,1.047
,14.5,1.047
,14.6,1.047
,14.7,1.047
,14.8,1.047
,14.9,1.046
,15,1.047
,15.1,1.046
,15.2,1.046
,15.3,1.046
,15.4,1.046
,15.5,1.046
,15.6,1.046
,15.7,1.046
,15.8,1.046
,15.9,1.046
,16,1.046
,16.1,1.046
,16.2,1.046
,16.3,1.046
,16.4,1.046
,16.5,1.046
,16.6,1.046
,16.7,1.046
,16.8,1.046
,16.9,1.046
,17,1.046
,17.1,1.046
,17.2,1.046
,17.3,1.046
,17.4,1.046
,17.5,1.046
,17.6,1.046
,17.7,1.046
,17.8,1.046
,17.9,1.046
,18,1.046
,18.1,1.046
,18.2,1.046
,18.3,1.046
,18.4,1.046
,18.5,1.047
,18.6,1.045
,18.7,1.045
,18.8,1.045
,18.9,1.045
,19,1.046
,19.1,1.046
,19.2,1.046
,19.3,1.046
,19.4,1.047
,19.5,1.047
,19.6,1.047
,19.7,1.047
,19.8,1.047
,19.9,1.047
,20,1.047
,20.1,1.046
,20.2,1.046
,20.3,1.046
,20.4,1.046
,20.5,1.046
,20.6,1.046
,20.7,1.046
,20.8,1.046
,20.9,1.046
,21,1.046
,21.1,1.047
,21.2,1.047
,21.3,1.047
